bus_id,grid_cell
way/255277953-400,POL_40
way/255284259-220,POL_42
way/255284259-220,POL_44
way/255284259-220,POL_45
way/255284259-220,POL_46
way/255314292,POL_47
way/255314292,POL_48
way/133537926-220,POL_49
way/255277953-400,POL_52
way/255284259-220,POL_57
way/86494356-400,POL_58
way/133537926-220,POL_60
way/255284259-220,POL_65
way/133537926-220,POL_72
way/293484891-220,POL_78
way/29115701-220,POL_80
way/255284259-220,POL_81
way/86494356-400,POL_82
way/86494356-400,POL_83
way/133537926-220,POL_84
way/133537926-220,POL_86
way/215282393-400,POL_88
way/29115701-220,POL_89
way/29115701-220,POL_91
way/29115701-220,POL_92
way/29115701-220,POL_93
way/29115701-220,POL_95
way/215282393-400,POL_96
way/29115701-220,POL_101
way/29115701-220,POL_103
way/29115701-220,POL_104
way/29115701-220,POL_105
way/29115701-220,POL_107
way/215282393-400,POL_108
way/215282393-400,POL_112
way/303870256-400,POL_117
way/303870256-400,POL_118
way/303870256-400,POL_119
way/215282393-400,POL_120
way/215282393-400,POL_123
way/215282393-400,POL_125
way/29115701-220,POL_127
way/303870256-400,POL_129
way/303870256-400,POL_131
way/215282393-400,POL_132
way/173613665-220,POL_133
way/173613665-220,POL_134
way/173613665-220,POL_137
way/29115701-220,POL_138
way/303870256-400,POL_139
way/303870256-400,POL_141
way/303870256-400,POL_142
way/303870256-400,POL_143
way/173613665-220,POL_144
way/173613665-220,POL_145
way/173613665-220,POL_148
way/173613665-220,POL_149
way/303870256-400,POL_150
way/303870256-400,POL_151
way/303870256-400,POL_152
way/303870256-400,POL_153
way/303870256-400,POL_154
way/39428977-400,wof-POL_3
way/255314292,wof-POL_4
way/255314292,wof-POL_5
way/255314292,wof-POL_7
way/255314292,wof-POL_8
way/255314292,wof-POL_11
way/255314292,wof-POL_12
way/86494356-400,wof-POL_14
way/86494356-400,wof-POL_15
way/86494356-400,wof-POL_19
way/86494356-400,wof-POL_20
way/86494356-400,wof-POL_26
way/86494356-400,wof-POL_27
way/86494356-400,wof-POL_28
way/86494356-400,wof-POL_29
way/86494356-400,wof-POL_30
way/86494356-400,wof-POL_31
