GEM location ID,bus_id
L100001007717,way/133537926-220
L100000500433,way/133537926-220
L100001007716,way/255284259-220
L100000500323,way/86494356-400
L100001007718,way/133537926-220
L100001007721,way/303870256-400
L100000500434,way/293484891-220
L100001007720,way/133537926-220
L100001007719,way/215282393-400
L100001007722,way/255284259-220
L100000103244,way/303870256-400
L100000103261,way/133537926-220
L100000103276,way/255284259-220
L100000103219,way/293484891-220
L100000201195,way/303870256-400
L100000103272,way/215282393-400
L100000103213,way/255284259-220
L100000103274,way/39428977-400
L100000103253,way/133537926-220
L100000103275,way/255284259-220
L100001000014,way/133537926-220
L100000103212,way/255284259-220
L100001000012,way/133537926-220
L100000103278,way/39428977-400
L100000406375,way/86494356-400
L100001025878,way/86494356-400
L100000103246,way/86494356-400
L100000103226,way/39428977-400
L100000401438,way/255284259-220
L100000400575,way/111615226-380
L100000407812,way/39428977-400
L100000103233,way/29115701-220
L100000400810,way/215282393-400
L100000103234,way/303870256-400
L100000406377,way/29115701-220
L100000103277,way/255284259-220
L100000103268,way/133537926-220
L100000400576,way/215282393-400
L100000103208,way/255277953-400
L100000400578,way/29115701-220
L100000103235,way/29115701-220
L100000103243,way/215282393-400
L100000406378,way/133537926-220
L100000400579,way/255284259-220
L100000400580,way/255277953-400
L100000400812,way/255284259-220
L100000400813,way/173613665-220
L100000103236,way/29115701-220
L100000400582,way/111615226-380
L100000103250,way/133537926-220
L100000103216,way/293484891-220
L100000103255,way/133537926-220
L100000103257,way/133537926-220
L100000103251,way/293484891-220
L100000103245,way/86494356-400
L100000103252,way/133537926-220
L100000103263,way/133537926-220
L100000103229,way/133537926-220
L100000103264,way/133537926-220
L100000103265,way/133537926-220
L100000103218,way/293484891-220
L100000103242,way/255277953-400
L100000103220,way/255284259-220
L100000103279,way/39428977-400
L100000103224,way/215282393-400
L100000103228,way/215282393-400
L100000103230,way/133537926-220
L100000103231,way/133537926-220
L100000103210,way/111615226-380
L100000103211,way/255277953-400
L100000103270,way/133537926-220
L100000103273,way/133537926-220
L100000103271,way/133537926-220
L100000907816,way/39428977-400
L100000907873,way/255314292
L100000907947,way/255284259-220
L100000907978,way/86494356-400
L100000907981,way/215282393-400
L100000908028,way/293484891-220
L100000908050,way/255277953-400
L100000908051,way/29115701-220
L100000908172,way/293484891-220
L100000908197,way/215282393-400
L100000908237,way/86494356-400
L100000908468,way/86494356-400
L100000908817,way/29115701-220
L100000908818,way/86494356-400
L100000908839,way/255314292
L100000908896,way/215282393-400
L100000908915,way/293484891-220
L100000908995,way/255284259-220
L100000909071,way/29115701-220
L100000909263,way/255314292
L100000909368,way/255314292
L100000909560,way/255284259-220
L100000909601,way/255284259-220
L100000909603,way/255314292
L100000909697,way/255314292
L100000909799,way/39428977-400
L100000909877,way/39428977-400
L100000909912,way/29115701-220
L100000909917,way/39428977-400
