line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
PL_line_2,way/29115701-220,PL17-400,PL17-400;way/29115701-220,400.0,9428.938186243457,66867.46222748815,PL,
PL_line_14,way/255314292,way/293484891-220,way/255314292;way/293484891-220,400.0,7641.461752832376,95852.69970760233,PL,
PL_line_16,way/86494356-400,way/255314292,way/255314292;way/86494356-400,400.0,6345.54133860934,98382.34464788732,PL,
PL_line_9,way/39428977-400,way/111615226-220,way/111615226-220;way/39428977-400,400.0,5853.985319421294,136918.49435114503,PL,
PL_line_4,way/111615226-220,PL75-220,PL75-220;way/111615226-220,400.0,5853.985319421294,68809.4154961832,PL,
PL_line_18,way/293484891-220,way/29115701-220,way/29115701-220;way/293484891-220,400.0,5541.176943574354,158471.52693548382,PL,
PL_line_10,way/191035265-220,way/133537926-220,way/133537926-220;way/191035265-220,400.0,5541.176943574354,84300.29870967743,PL,
PL_line_7,way/111615226-220,way/255314292,way/111615226-220;way/255314292,400.0,5541.176943574354,48482.9064516129,PL,
PL_line_19,way/303870256-400,way/29115701-220,way/29115701-220;way/303870256-400,400.0,5049.620924386306,108841.53973451328,PL,
PL_line_5,PL75-220,way/133537926-220,PL75-220;way/133537926-220,400.0,4736.812548539366,33337.81339622642,PL,
PL_line_21,way/293484891-220,way/86494356-400,way/293484891-220;way/86494356-400,400.0,4558.064905198259,94104.35450980392,PL,
PL_line_11,way/133537926-220,way/293484891-220,way/133537926-220;way/293484891-220,400.0,4558.064905198259,42894.03294117648,PL,
PL_line_20,way/86494356-400,way/29115701-220,way/29115701-220;way/86494356-400,400.0,3574.952866822164,128580.085,PL,
PL_line_1,way/191035265-220,PL17-400,PL17-400;way/191035265-220,400.0,2279.032452599129,328065.5294117647,PL,
PL_line_12,way/191035265-220,way/29115701-220,way/191035265-220;way/29115701-220,400.0,2279.032452599129,97100.62156862748,PL,
PL_line_6,PL75-220,way/293484891-220,PL75-220;way/293484891-220,400.0,1787.4764334110816,94419.94,PL,
PL_line_15,way/39428977-400,way/255314292,way/255314292;way/39428977-400,400.0,1787.4764334110816,128495.51,PL,
PL_line_3,way/303870256-400,PL17-400,PL17-400;way/303870256-400,400.0,1787.4764334110816,66788.62,PL,
PL_line_8,way/111615226-220,way/293484891-220,way/111615226-220;way/293484891-220,400.0,1787.4764334110816,77166.19,PL,
PL_line_13,way/293484891-220,way/191035265-220,way/191035265-220;way/293484891-220,220.0,491.5560191880474,82133.15,PL,
