bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,station_id,bus_name,
way/201845280-765,765,f,Substation,f,way/201845280,78.49272298,20.66910267,IN,765,IN,way/201845280,Wardha,
way/209826798-765,765,f,Substation,f,way/209826798,75.90401276,22.90833807,IN,765,IN,way/209826798,Indore,
way/293597835-765,765,f,Substation,f,way/293597835,76.05120153,17.60776027,IN,765,IN,way/293597835,Solapur,
way/311118424-765,765,f,Substation,f,way/311118424,80.85348365,25.95744738,IN,765,IN,way/311118424,Fatehpur,
way/315823978-765,765,f,Substation,f,way/315823978,78.17777034,15.67349034,IN,765,IN,way/315823978,Kurnool,
way/331275940-765,765,f,Substation,f,way/331275940,73.37713563,22.31729303,IN,765,IN,way/331275940,Vadodara,
way/353914865-765,765,f,Substation,f,way/353914865,82.76217218,22.27169275,IN,765,IN,way/353914865,Korba,chhattisgarh
way/369866141-765,765,f,Substation,f,way/369866141,75.66521879,26.65135152,IN,765,IN,way/369866141,Jaipur,
way/372701897-765,765,f,Substation,f,way/372701897,75.14607851,30.78407572,IN,765,IN,way/372701897,Moga,
way/386153973-765,765,f,Substation,f,way/386153973,78.03082641,12.13311356,IN,765,IN,way/386153973,Dharmapuri,
way/420797421-765,765,f,Substation,f,way/420797421,77.69785201,28.19600755,IN,765,IN,way/420797421,Sikandarabad,
way/688672711-765,765,f,Substation,f,way/688672711,69.59257685,23.45248506,IN,765,IN,way/688672711,Bhuj,
way/759521252-765,765,f,Substation,f,way/759521252,87.37996714,22.6908687,IN,765,IN,way/759521252,Medinipur,west bengal
way/1143180503-765,765,f,Substation,f,way/1143180503,72.48193594,27.51152538,IN,765,IN,way/1143180503,Phalodi,
IN684-765,765,f,Substation,f,IN684,81.8950886,17.15979717,IN,765,IN,IN684,Rajahmundry,
way/203673991-400,400,f,Substation,f,way/203673991,92.76922943,26.87410388,IN,400,IN,way/203673991,Tezpur,
